Datetime,equity
2024-09-17 00:00:00+00:00,1000000.0
2024-09-18 00:00:00+00:00,1000000.0
2024-09-19 00:00:00+00:00,1000000.0
2024-09-20 00:00:00+00:00,1000000.0
2024-09-21 00:00:00+00:00,1000000.0
2024-09-22 00:00:00+00:00,1000000.0
2024-09-23 00:00:00+00:00,1000000.0
2024-09-24 00:00:00+00:00,1000000.0
2024-09-25 00:00:00+00:00,1000000.0
2024-09-26 00:00:00+00:00,1000000.0
2024-09-27 00:00:00+00:00,1000000.0
2024-09-28 00:00:00+00:00,1000000.0
2024-09-29 00:00:00+00:00,1000000.0
2024-09-30 00:00:00+00:00,1000000.0
2024-10-01 00:00:00+00:00,1000000.0
2024-10-02 00:00:00+00:00,1000000.0
2024-10-03 00:00:00+00:00,1000000.0
2024-10-04 00:00:00+00:00,1000000.0
2024-10-05 00:00:00+00:00,1000000.0
2024-10-06 00:00:00+00:00,1000000.0
2024-10-07 00:00:00+00:00,1000000.0
2024-10-08 00:00:00+00:00,1000000.0
2024-10-09 00:00:00+00:00,1000000.0
2024-10-10 00:00:00+00:00,1000000.0
2024-10-11 00:00:00+00:00,1000000.0
2024-10-12 00:00:00+00:00,1000000.0
2024-10-13 00:00:00+00:00,1000000.0
2024-10-14 00:00:00+00:00,1000000.0
2024-10-15 00:00:00+00:00,1000000.0
2024-10-16 00:00:00+00:00,1000000.0
2024-10-17 00:00:00+00:00,1000000.0
2024-10-18 00:00:00+00:00,1000000.0
2024-10-19 00:00:00+00:00,1000000.0
2024-10-20 00:00:00+00:00,1000000.0
2024-10-21 00:00:00+00:00,1000000.0
2024-10-22 00:00:00+00:00,1000000.0
2024-10-23 00:00:00+00:00,1000000.0
2024-10-24 00:00:00+00:00,1000000.0
2024-10-25 00:00:00+00:00,1000000.0
2024-10-26 00:00:00+00:00,1000000.0
2024-10-27 00:00:00+00:00,1000000.0
2024-10-28 00:00:00+00:00,1000000.0
2024-10-29 00:00:00+00:00,1003821.6049536001
2024-10-30 00:00:00+00:00,1003821.6049536001
2024-10-31 00:00:00+00:00,1003821.6049536001
2024-11-01 00:00:00+00:00,1003821.6049536001
2024-11-02 00:00:00+00:00,1003821.6049536001
2024-11-03 00:00:00+00:00,1003821.6049536001
2024-11-04 00:00:00+00:00,1003821.6049536001
2024-11-05 00:00:00+00:00,1003821.6049536001
2024-11-06 00:00:00+00:00,1003821.6049536001
2024-11-07 00:00:00+00:00,1003821.6049536001
2024-11-08 00:00:00+00:00,1003821.6049536001
2024-11-09 00:00:00+00:00,1003821.6049536001
2024-11-10 00:00:00+00:00,998147.464135096
2024-11-11 00:00:00+00:00,1012723.2823346021
2024-11-12 00:00:00+00:00,1001879.602361535
2024-11-13 00:00:00+00:00,1001879.602361535
2024-11-14 00:00:00+00:00,1001879.602361535
2024-11-15 00:00:00+00:00,1001879.602361535
2024-11-16 00:00:00+00:00,1001879.602361535
2024-11-17 00:00:00+00:00,1001879.602361535
2024-11-18 00:00:00+00:00,1001879.602361535
2024-11-19 00:00:00+00:00,1001879.602361535
2024-11-20 00:00:00+00:00,1001879.602361535
2024-11-21 00:00:00+00:00,1001879.602361535
2024-11-22 00:00:00+00:00,1001879.602361535
2024-11-23 00:00:00+00:00,1001879.602361535
2024-11-24 00:00:00+00:00,1001879.602361535
2024-11-25 00:00:00+00:00,1001879.602361535
2024-11-26 00:00:00+00:00,1001879.602361535
2024-11-27 00:00:00+00:00,1001879.602361535
2024-11-28 00:00:00+00:00,1001879.602361535
2024-11-29 00:00:00+00:00,1001879.602361535
2024-11-30 00:00:00+00:00,1001879.602361535
2024-12-01 00:00:00+00:00,1001879.602361535
2024-12-02 00:00:00+00:00,1001879.602361535
2024-12-03 00:00:00+00:00,1001879.602361535
2024-12-04 00:00:00+00:00,1001879.602361535
2024-12-05 00:00:00+00:00,1001879.602361535
2024-12-06 00:00:00+00:00,1001879.602361535
2024-12-07 00:00:00+00:00,1001879.602361535
2024-12-08 00:00:00+00:00,1001879.602361535
2024-12-09 00:00:00+00:00,1001879.602361535
2024-12-10 00:00:00+00:00,1001879.602361535
2024-12-11 00:00:00+00:00,1001879.602361535
2024-12-12 00:00:00+00:00,1001879.602361535
2024-12-13 00:00:00+00:00,1001879.602361535
2024-12-14 00:00:00+00:00,1001879.602361535
2024-12-15 00:00:00+00:00,1001879.602361535
2024-12-16 00:00:00+00:00,1001879.602361535
2024-12-17 00:00:00+00:00,1001879.602361535
2024-12-18 00:00:00+00:00,1001879.602361535
2024-12-19 00:00:00+00:00,1001879.602361535
2024-12-20 00:00:00+00:00,1003455.8315899046
2024-12-21 00:00:00+00:00,1003455.8315899046
2024-12-22 00:00:00+00:00,1003455.8315899046
2024-12-23 00:00:00+00:00,1003455.8315899046
2024-12-24 00:00:00+00:00,1003455.8315899046
2024-12-25 00:00:00+00:00,1003455.8315899046
2024-12-26 00:00:00+00:00,1003455.8315899046
2024-12-27 00:00:00+00:00,1003455.8315899046
2024-12-28 00:00:00+00:00,1003455.8315899046
2024-12-29 00:00:00+00:00,996084.7513598327
2024-12-30 00:00:00+00:00,1003522.8191695582
2024-12-31 00:00:00+00:00,1003522.8191695582
2025-01-01 00:00:00+00:00,1003522.8191695582
2025-01-02 00:00:00+00:00,1000853.7400986323
2025-01-03 00:00:00+00:00,995710.3700941391
2025-01-04 00:00:00+00:00,995710.3700941391
2025-01-05 00:00:00+00:00,995710.3700941391
2025-01-06 00:00:00+00:00,995710.3700941391
2025-01-07 00:00:00+00:00,998085.4136502808
2025-01-08 00:00:00+00:00,1026375.2406178113
2025-01-09 00:00:00+00:00,1026375.2406178113
2025-01-10 00:00:00+00:00,1026375.2406178113
2025-01-11 00:00:00+00:00,1026375.2406178113
2025-01-12 00:00:00+00:00,1026375.2406178113
2025-01-13 00:00:00+00:00,1026375.2406178113
2025-01-14 00:00:00+00:00,1026375.2406178113
2025-01-15 00:00:00+00:00,1026375.2406178113
2025-01-16 00:00:00+00:00,1026375.2406178113
2025-01-17 00:00:00+00:00,1019368.3338287171
2025-01-18 00:00:00+00:00,1018300.9898555595
2025-01-19 00:00:00+00:00,1018300.9898555595
2025-01-20 00:00:00+00:00,1018300.9898555595
2025-01-21 00:00:00+00:00,1018300.9898555595
2025-01-22 00:00:00+00:00,1018300.9898555595
2025-01-23 00:00:00+00:00,1018300.9898555595
